1	1320669.3229	2254557.4062
2	1320669.2977	2254557.5030
3	1320669.2726	2254557.5998
4	1320669.2474	2254557.6965
5	1320669.2221	2254557.7933
6	1320669.1970	2254557.8901
7	1320669.1718	2254557.9869
8	1320669.1465	2254558.0836
9	1320669.1213	2254558.1804
10	1320669.0961	2254558.2771
11	1320669.0708	2254558.3739
12	1320669.0456	2254558.4707
13	1320669.0203	2254558.5674
14	1320668.9950	2254558.6642
15	1320668.9698	2254558.7609
16	1320668.9445	2254558.8577
17	1320668.9192	2254558.9544
18	1320668.8938	2254559.0512
19	1320668.8686	2254559.1479
20	1320668.8432	2254559.2447
21	1320668.8179	2254559.3414
22	1320668.7926	2254559.4381
23	1320668.7672	2254559.5349
24	1320668.7418	2254559.6316
25	1320668.7165	2254559.7283
26	1320668.6911	2254559.8251
27	1320668.6658	2254559.9218
28	1320668.6403	2254560.0185
29	1320668.6149	2254560.1152
30	1320668.5895	2254560.2119
31	1320668.5641	2254560.3086
32	1320668.5387	2254560.4054
33	1320668.5133	2254560.5021
34	1320668.4878	2254560.5988
35	1320668.4624	2254560.6955
36	1320668.4370	2254560.7922
37	1320668.4114	2254560.8889
38	1320668.3860	2254560.9856
39	1320668.3605	2254561.0823
40	1320668.3350	2254561.1790
41	1320668.3095	2254561.2757
42	1320668.2840	2254561.3724
43	1320668.2585	2254561.4691
44	1320668.2330	2254561.5658
45	1320668.2075	2254561.6625
46	1320668.1819	2254561.7592
47	1320668.1564	2254561.8558
48	1320668.1308	2254561.9525
49	1320668.1052	2254562.0492
50	1320668.0796	2254562.1458
51	1320668.0541	2254562.2425
52	1320668.0285	2254562.3392
53	1320668.0029	2254562.4359
54	1320667.9773	2254562.5325
55	1320667.9517	2254562.6292
56	1320667.9261	2254562.7259
57	1320667.9004	2254562.8225
58	1320667.8748	2254562.9192
59	1320667.8491	2254563.0158
60	1320667.8235	2254563.1125
61	1320667.7978	2254563.2091
62	1320667.7721	2254563.3058
63	1320667.7464	2254563.4024
64	1320667.7207	2254563.4991
65	1320667.6951	2254563.5957
66	1320667.6694	2254563.6924
67	1320667.6436	2254563.7890
68	1320667.6179	2254563.8856
69	1320667.5922	2254563.9823
70	1320667.5665	2254564.0789
71	1320667.5407	2254564.1755
72	1320667.5150	2254564.2722
73	1320667.4892	2254564.3688
74	1320667.4635	2254564.4654
75	1320667.4377	2254564.5620
76	1320667.4119	2254564.6586
77	1320667.3861	2254564.7553
78	1320667.3602	2254564.8519
